route_id,name_zh,name_en,source_index,source_url,source_type
jp_004,上高地至奥穗高岳,Kamikochi to Mt. Okuhotaka,1,https://www.japan-guide.com/e/e6905.html,community
jp_004,上高地至奥穗高岳,Kamikochi to Mt. Okuhotaka,2,https://www.yamareco.com/,community
jp_005,立山黑部穿越,Tateyama Kurobe Alpine Route,1,https://www.alpen-route.com/,community
jp_005,立山黑部穿越,Tateyama Kurobe Alpine Route,2,https://www.japan-guide.com/e/e6906.html,community
jp_006,四国遍路（经典段）,Shikoku Pilgrimage (Classic Section),1,https://www.shikoku-tourism.com/,community
jp_006,四国遍路（经典段）,Shikoku Pilgrimage (Classic Section),2,https://www.japan-guide.com/e/e4901.html,community
jp_007,濑户内岛波海道骑行,Shimanami Kaido Cycling,1,https://www.japancycling.org/,community
jp_007,濑户内岛波海道骑行,Shimanami Kaido Cycling,2,https://www.japan-guide.com/e/e3461.html,community
jp_008,富士山五湖骑行,Fuji Five Lakes Cycling,1,https://www.japancycling.org/,community
jp_008,富士山五湖骑行,Fuji Five Lakes Cycling,2,https://www.japan-guide.com/e/e6901.html,community
jp_009,九州环岛摩旅,Kyushu Circuit Motorcycle,1,https://www.japan-guide.com/e/e6800.html,community
jp_009,九州环岛摩旅,Kyushu Circuit Motorcycle,2,https://www.advrider.com/japan-motorcycle-travel/,community
jp_010,富士山周边摩旅,Mt.Fuji Area Motorcycle,1,https://www.japan-guide.com/e/e6901.html,community
jp_010,富士山周边摩旅,Mt.Fuji Area Motorcycle,2,https://www.japanmotorcycletravel.com/,community
al_001,环勃朗峰徒步（TMB）,Tour du Mont Blanc,1,https://www.autourdumontblanc.com/,community
al_001,环勃朗峰徒步（TMB）,Tour du Mont Blanc,2,https://www.alltrails.com/trail/france/tour-du-mont-blanc,community
al_002,高山线路（霞慕尼至采尔马特）,Haute Route (Chamonix to Zermatt),1,https://www.chamonix.com/haute-route,official
al_002,高山线路（霞慕尼至采尔马特）,Haute Route (Chamonix to Zermatt),2,https://www.zermatt.ch/en/haute-route,official
al_003,少女峰地区徒步,Jungfrau Region Hiking,1,https://www.jungfrau.ch/,official
al_003,少女峰地区徒步,Jungfrau Region Hiking,2,https://www.myswitzerland.com/,community
al_004,多洛米蒂Alta Via 1,Dolomites Alta Via 1,1,https://www.dolomiti.org/,community
al_004,多洛米蒂Alta Via 1,Dolomites Alta Via 1,2,https://www.alltrails.com/trail/italy/alta-via-1,community
al_005,马特洪峰登山,Matterhorn Climb,1,https://www.zermatt.ch/en/matterhorn,official
al_005,马特洪峰登山,Matterhorn Climb,2,https://www.summitpost.org/matterhorn,community
al_006,勃朗峰登山,Mont Blanc Climb,1,https://www.chamonix.com/mont-blanc,official
al_006,勃朗峰登山,Mont Blanc Climb,2,https://www.summitpost.org/mont-blanc,community
al_007,艾格峰北壁攀登,Eiger North Face Climb,1,https://www.summitpost.org/eiger,community
al_007,艾格峰北壁攀登,Eiger North Face Climb,2,https://www.grindelwald.ch/en/eiger,official
al_008,环勃朗峰骑行,Tour du Mont Blanc Cycling,1,https://www.chamonix.com/cycling,official
al_008,环勃朗峰骑行,Tour du Mont Blanc Cycling,2,https://www.cycling-challenge.com/tour-du-mont-blanc-cycle/,community
al_009,阿尔卑斯山隘骑行,Alpine Cols Cycling,1,https://www.cycling-challenge.com/tour-de-france-cols/,community
al_009,阿尔卑斯山隘骑行,Alpine Cols Cycling,2,https://www.francevelotourisme.com/,community
al_010,大钟山高山公路摩旅,Grossglockner High Alpine Road,1,https://www.grossglockner.at/,community
al_010,大钟山高山公路摩旅,Grossglockner High Alpine Road,2,https://www.austria.info/en/,community
al_011,圣莫里茨地区徒步,St. Moritz Area Hiking,1,https://www.myswitzerland.com/en/destinations/st-moritz/,community
al_011,圣莫里茨地区徒步,St. Moritz Area Hiking,2,https://www.engadin.ch/en/,official
al_012,特里格拉夫国家公园环线,Triglav National Park Circuit,1,https://www.tnp.si/en/,community
al_012,特里格拉夫国家公园环线,Triglav National Park Circuit,2,https://www.alltrails.com/trail/slovenia/triglav-circuit,community
